parent_account,code,name,in_balance_sheet,key,description
,2599,Total assets,True,9,
9,1599,Total current assets,True,10,
10,1001,Cash,True,11,
10,1122,Inventory parts and supplies,True,12,
9,2008,Total tangible capital assets,True,13,
13,1600,Land,True,14,
13,1680,Buildings,True,15,
13,1740,"Machinery, equipment, furniture, and fixtures",True,16,
9,2178,Total intangible capital assets,True,17,
17,2010,Intangible assets,True,18,
9,2589,Total long-term assets,True,19,
,3499,Total liabilities,True,20,
20,3139,Total current liabilities,True,21,
21,2600,Bank overdraft,True,22,
21,2707,Credit card loans,True,23,
20,3450,Total long-term liabilities,True,24,
24,3141,Mortgages,True,25,
,3620,Total equity,True,26,
,8299,Total revenue,False,27,
,9368,Total expenses,False,28,
